Section Name,My GSTIN,GSTIN of supplier,Trade/Legal name,Taxpayer Type,2B Return Period,Invoice number,Invoice type,Invoice Date,Invoice Value(?),Place of supply,Supply Attract Reverse Charge,Original Invoice number,Original Invoice Date,Taxable Value (?),Integrated Tax(?),Central Tax(?),State/UT Tax(?),Cess(?),GSTR-1/5 Period,GSTR-1/5 Filing Date,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date
B2BA,37AAACT7391N1ZN,37AMPPG7289J1Z8,Teja Enterprises,Regular,Mar 2022,'2020-21/06',INVOICE,28-Feb-2021,"3,241,422.00",ANDHRAPRADESH,NO,2020-21/06,28-Feb-21,"2,746,968.00",0.00,"247,227.12","247,227.12",0.00,Jul 2021,15th Mar 2022,NO,C,,,,
B2BA,37AAACT7391N1ZN,37AMPPG7289J1Z8,Teja Enterprises,Regular,Mar 2022,'25',INVOICE,21-Jan-2021,0.00,ANDHRAPRADESH,NO,25,21-Jan-21,0.00,0.00,0.00,0.00,0.00,Jul 2021,15th Mar 2022,NO,C,,,,
B2BA,37AAACT7391N1ZN,37AMPPG7289J1Z8,Teja Enterprises,Regular,Mar 2022,'24',INVOICE,21-Jan-2021,0.00,ANDHRAPRADESH,NO,24,21-Jan-21,0.00,0.00,0.00,0.00,0.00,Jul 2021,15th Mar 2022,NO,C,,,,
B2BA,37AAACT7391N1ZN,37AMPPG7289J1Z8,Teja Enterprises,Regular,Mar 2022,'23',INVOICE,31-Dec-2020,0.00,ANDHRAPRADESH,NO,23,31-Dec-20,0.00,0.00,0.00,0.00,0.00,Jul 2021,15th Mar 2022,NO,C,,,,
B2BA,37AAACT7391N1ZN,37AACCU0466F1ZF,UTKAL TYPE FOUNDRY & MACHINERIES PRIVATE LIMITED,Regular,Mar 2022,'04/APMDC/P/21-22',INVOICE,05-Feb-2022,"14,726,400.00",ANDHRAPRADESH,NO,04/APMDC/P/21-22,05-Feb-22,"12,480,000.00",0.00,"1,123,200.00","1,123,200.00",0.00,Mar 2022,11th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,36AAJCB5236B1ZZ,BALACHANDIKA SECURITY FORCE (INDIA) PRIVATE LIMITED,Regular,Mar 2022,'BSFIND/2612',INVOICE,10-Feb-2022,"315,164.83",ANDHRAPRADESH,NO,,,"267,089.00","48,076.02",0.00,0.00,0.00,Feb 2022,24th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,36AAJCB5236B1ZZ,BALACHANDIKA SECURITY FORCE (INDIA) PRIVATE LIMITED,Regular,Mar 2022,'BSFIND/2611',INVOICE,10-Feb-2022,"35,403.54",ANDHRAPRADESH,NO,,,"30,003.00","5,400.54",0.00,0.00,0.00,Feb 2022,24th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,36AAJCB5236B1ZZ,BALACHANDIKA SECURITY FORCE (INDIA) PRIVATE LIMITED,Regular,Mar 2022,'BSFIND/2610',INVOICE,10-Feb-2022,"35,403.54",ANDHRAPRADESH,NO,,,"30,003.00","5,400.54",0.00,0.00,0.00,Feb 2022,24th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,36AAJCB5236B1ZZ,BALACHANDIKA SECURITY FORCE (INDIA) PRIVATE LIMITED,Regular,Mar 2022,'BSFIND/2609',INVOICE,10-Feb-2022,"122,382.51",ANDHRAPRADESH,NO,,,"103,714.00","18,668.52",0.00,0.00,0.00,Feb 2022,24th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,36AAJCB5236B1ZZ,BALACHANDIKA SECURITY FORCE (INDIA) PRIVATE LIMITED,Regular,Mar 2022,'BSFIND/2608',INVOICE,10-Feb-2022,"1,175,905.79",ANDHRAPRADESH,NO,,,"996,530.00","179,375.40",0.00,0.00,0.00,Feb 2022,24th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,36AAJCB5236B1ZZ,BALACHANDIKA SECURITY FORCE (INDIA) PRIVATE LIMITED,Regular,Mar 2022,'BSFIND/2607',INVOICE,10-Feb-2022,"3,812,552.35",ANDHRAPRADESH,NO,,,"3,230,977.00","581,575.86",0.00,0.00,0.00,Feb 2022,24th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37BCPPB8819Q1ZP,OMEGHAS AGENCIES,Regular,Mar 2022,'213',INVOICE,01-Feb-2022,"24,075.01",ANDHRAPRADESH,NO,,,"20,402.55",0.00,"1,836.23","1,836.23",0.00,Feb 2022,19th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,33AABFT9053F2Z9,THERAPEUTICS CHEMICAL RESEARCH CORPORATION,Regular,Mar 2022,'C-CHB2122MI00121',INVOICE,07-Mar-2022,"2,703,096.00",ANDHRAPRADESH,NO,,,"2,290,759.70","412,336.75",0.00,0.00,0.00,Mar 2022,11th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37ACPPN5885P1ZC,PERFECT BEARING ENTERPRISES,Regular,Mar 2022,'1023/21-22',INVOICE,22-Mar-2022,"21,523.00",ANDHRAPRADESH,NO,,,"18,240.00",0.00,"1,641.60","1,641.60",0.00,Mar 2022,9th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37ACPPN5885P1ZC,PERFECT BEARING ENTERPRISES,Regular,Mar 2022,'1021/21-22',INVOICE,22-Mar-2022,"4,593.00",ANDHRAPRADESH,NO,,,"3,892.00",0.00,350.28,350.28,0.00,Mar 2022,9th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37ACPPN5885P1ZC,PERFECT BEARING ENTERPRISES,Regular,Mar 2022,'1012/21-22',INVOICE,18-Mar-2022,"84,987.00",ANDHRAPRADESH,NO,,,"72,023.13",0.00,"6,482.08","6,482.08",0.00,Mar 2022,9th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37ABXFS7523A1ZU,SANTHOSH AGENCIES,Regular,Mar 2022,'0015/21/2022',INVOICE,31-Jan-2022,"214,928.00",ANDHRAPRADESH,NO,,,"182,142.00",0.00,"16,392.78","16,392.78",0.00,Jan 2022,26th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,36AANFD7604C1ZL,DBS ENGINEERING SOLUTIONS,Regular,Mar 2022,'SPY/052',INVOICE,21-Feb-2022,"29,500.00",ANDHRAPRADESH,NO,,,"25,000.00","4,500.00",0.00,0.00,0.00,Feb 2022,20th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,36AANFD7604C1ZL,DBS ENGINEERING SOLUTIONS,Regular,Mar 2022,'SER/082',INVOICE,24-Feb-2022,"47,112.00",ANDHRAPRADESH,NO,,,"39,925.00","7,186.50",0.00,0.00,0.00,Feb 2022,20th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,21AABCV8957D1ZC,VISIONTEK CONSULTANCY SERVICES PRIVATE LIMITED,Regular,Mar 2022,'VCSPL2021-22/943',INVOICE,28-Mar-2022,"702,100.00",ANDHRAPRADESH,NO,,,"595,000.00","107,100.00",0.00,0.00,0.00,Mar 2022,11th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37AQCPM4537E1ZX,PRATAP REDDY  MANNURU,Regular,Mar 2022,'MPR-2020-21/28',INVOICE,31-Mar-2021,"3,899,340.00",ANDHRAPRADESH,NO,,,"3,304,526.00",0.00,"297,407.34","297,407.34",0.00,Mar 2021,25th Mar 2022,NO,C,,,,
B2B,37AAACT7391N1ZN,37AQCPM4537E1ZX,PRATAP REDDY  MANNURU,Regular,Mar 2022,'MPR-2020-21/27',INVOICE,25-Mar-2021,"24,592.00",ANDHRAPRADESH,NO,,,"20,842.00",0.00,"1,875.78","1,875.78",0.00,Mar 2021,25th Mar 2022,NO,C,,,,
B2B,37AAACT7391N1ZN,37AQCPM4537E1ZX,PRATAP REDDY  MANNURU,Regular,Mar 2022,'MPR-2020-21/26',INVOICE,04-Mar-2021,"3,537,186.00",ANDHRAPRADESH,NO,,,"2,997,616.00",0.00,"269,785.44","269,785.44",0.00,Mar 2021,25th Mar 2022,NO,C,,,,
B2B,37AAACT7391N1ZN,27AAACK4702A1Z7,KELTECH ENERGIES LIMITED,Regular,Mar 2022,'GSM212204190',INVOICE,25-Mar-2022,"50,150.00",ANDHRAPRADESH,NO,,,"42,500.00","7,650.00",0.00,0.00,0.00,Mar 2022,9th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,27AAACK4702A1Z7,KELTECH ENERGIES LIMITED,Regular,Mar 2022,'GSM212204189',INVOICE,25-Mar-2022,"111,888.00",ANDHRAPRADESH,NO,,,"94,820.00","17,067.60",0.00,0.00,0.00,Mar 2022,9th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,27AAACK4702A1Z7,KELTECH ENERGIES LIMITED,Regular,Mar 2022,'GSM212203970',INVOICE,08-Mar-2022,"100,300.00",ANDHRAPRADESH,NO,,,"85,000.00","15,300.00",0.00,0.00,0.00,Mar 2022,9th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,27AAACK4702A1Z7,KELTECH ENERGIES LIMITED,Regular,Mar 2022,'GSM212203969',INVOICE,08-Mar-2022,"111,888.00",ANDHRAPRADESH,NO,,,"94,820.00","17,067.60",0.00,0.00,0.00,Mar 2022,9th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37AABCB5576G3ZI,CHIEF GENERAL MANAGER  BSNL ANDHRA PRADESH TELECOM CIRCLE,Regular,Mar 2022,'SDCAP0022681669',INVOICE,03-Mar-2022,"15,043.92",ANDHRAPRADESH,NO,,,"12,749.08",0.00,"1,147.42","1,147.42",0.00,Mar 2022,11th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37AMVPR2731E1ZP,Laxmi Devi Furnitures,Regular,Mar 2022,'20',INVOICE,12-Mar-2022,"76,400.00",ANDHRAPRADESH,NO,,,"64,745.76",0.00,"5,827.12","5,827.12",0.00,Mar 2022,9th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37AAKCS5978G1ZO,SAI PAVANI CONSTRUCTIONS INDIA PRIVATE LIMITED,Regular,Mar 2022,'SP/21-22/02',INVOICE,04-Jun-2021,"19,824.00",ANDHRAPRADESH,NO,,,"16,800.00",0.00,"1,512.00","1,512.00",0.00,Feb 2022,19th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37AAKCS5978G1ZO,SAI PAVANI CONSTRUCTIONS INDIA PRIVATE LIMITED,Regular,Mar 2022,'SP/21-22/01',INVOICE,04-Jun-2021,"107,203.00",ANDHRAPRADESH,NO,,,"90,850.00",0.00,"8,176.50","8,176.50",0.00,Feb 2022,19th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37AJFPR1149F1Z7,SAHITHI ENTERPRISES,Regular,Mar 2022,'335/SE/2021-22',INVOICE,04-Mar-2022,"5,250.00",ANDHRAPRADESH,NO,,,"4,102.00",0.00,574.28,574.28,0.00,Mar 2022,8th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,36AABCK2895D1ZJ,KPMG ADVISORY SERVICES PRIVATE LIMITED,Regular,Mar 2022,'KASP-TL/500091',INVOICE,22-Mar-2022,"2,979,097.62",ANDHRAPRADESH,NO,,,"2,524,659.00","454,438.62",0.00,0.00,0.00,Mar 2022,11th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37BALPV7821E1ZA,SAI KRUPA MANPOWER AGENCY,Regular,Mar 2022,'SK/2021-22/026',INVOICE,30-Mar-2022,"2,012,259.00",ANDHRAPRADESH,NO,,,"1,705,305.00",0.00,"153,477.45","153,477.45",0.00,Mar 2022,10th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37BALPV7821E1ZA,SAI KRUPA MANPOWER AGENCY,Regular,Mar 2022,'SK/2021-22/025',INVOICE,18-Mar-2022,"12,395.00",ANDHRAPRADESH,NO,,,"10,505.00",0.00,945.45,945.45,0.00,Mar 2022,10th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37BALPV7821E1ZA,SAI KRUPA MANPOWER AGENCY,Regular,Mar 2022,'SK/2021-22/024',INVOICE,18-Mar-2022,"9,808.00",ANDHRAPRADESH,NO,,,"8,312.00",0.00,748.08,748.08,0.00,Mar 2022,10th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37BALPV7821E1ZA,SAI KRUPA MANPOWER AGENCY,Regular,Mar 2022,'SK/2021-22/023',INVOICE,18-Mar-2022,"441,481.00",ANDHRAPRADESH,NO,,,"374,137.00",0.00,"33,672.33","33,672.33",0.00,Mar 2022,10th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37BALPV7821E1ZA,SAI KRUPA MANPOWER AGENCY,Regular,Mar 2022,'SK/2021-22/022',INVOICE,19-Mar-2022,"32,999.00",ANDHRAPRADESH,NO,,,"27,965.00",0.00,"2,516.85","2,516.85",0.00,Mar 2022,10th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37BALPV7821E1ZA,SAI KRUPA MANPOWER AGENCY,Regular,Mar 2022,'SK/2021-22/021',INVOICE,09-Mar-2022,"1,690,691.00",ANDHRAPRADESH,NO,,,"1,432,789.00",0.00,"128,951.01","128,951.01",0.00,Mar 2022,10th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,23AABCL5045N1ZG,HDFC ERGO GENERAL INSURANCE COMPANY LIMITED,Regular,Mar 2022,'204549278400000',INVOICE,17-Mar-2022,"9,039.98",ANDHRAPRADESH,NO,,,"7,661.00","1,378.98",0.00,0.00,0.00,Mar 2022,10th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,23AABCL5045N1ZG,HDFC ERGO GENERAL INSURANCE COMPANY LIMITED,Regular,Mar 2022,'204549274400000',INVOICE,09-Mar-2022,"10,974.00",ANDHRAPRADESH,NO,,,"9,300.00","1,674.00",0.00,0.00,0.00,Mar 2022,10th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,23AABCL5045N1ZG,HDFC ERGO GENERAL INSURANCE COMPANY LIMITED,Regular,Mar 2022,'204548290100000',INVOICE,11-Mar-2022,"6,537.20",ANDHRAPRADESH,NO,,,"5,540.00",997.20,0.00,0.00,0.00,Mar 2022,10th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,23AABCL5045N1ZG,HDFC ERGO GENERAL INSURANCE COMPANY LIMITED,Regular,Mar 2022,'204548284700000',INVOICE,11-Mar-2022,"8,080.64",ANDHRAPRADESH,NO,,,"6,848.00","1,232.64",0.00,0.00,0.00,Mar 2022,10th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,23AABCL5045N1ZG,HDFC ERGO GENERAL INSURANCE COMPANY LIMITED,Regular,Mar 2022,'204548273600000',INVOICE,09-Mar-2022,"7,373.82",ANDHRAPRADESH,NO,,,"6,249.00","1,124.82",0.00,0.00,0.00,Mar 2022,10th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,23AABCL5045N1ZG,HDFC ERGO GENERAL INSURANCE COMPANY LIMITED,Regular,Mar 2022,'204548269500000',INVOICE,09-Mar-2022,"5,156.60",ANDHRAPRADESH,NO,,,"4,370.00",786.60,0.00,0.00,0.00,Mar 2022,10th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37ABXFS7523A1ZU,SANTHOSH AGENCIES,Regular,Mar 2022,'0013/21/2022',INVOICE,10-Nov-2021,"334,919.00",ANDHRAPRADESH,NO,,,"283,831.00",0.00,"25,544.79","25,544.79",0.00,Dec 2021,26th Mar 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37AQBPS8107M1ZD,KM ELETRONICS,Regular,Mar 2022,'GST21-2204302',INVOICE,03-Mar-2022,250.00,ANDHRAPRADESH,NO,,,211.86,0.00,19.07,19.07,0.00,Mar 2022,11th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37AAACL3798F1Z9,LASER SYSTMS PRIVATE LIMITED,Regular,Mar 2022,'LSLVJA380/21-22',INVOICE,31-Mar-2022,"2,541.00",ANDHRAPRADESH,NO,,,"2,153.20",0.00,193.79,193.79,0.00,Mar 2022,11th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37AAACL3798F1Z9,LASER SYSTMS PRIVATE LIMITED,Regular,Mar 2022,'LSLVJA379/21-22',INVOICE,31-Mar-2022,626.00,ANDHRAPRADESH,NO,,,530.80,0.00,47.77,47.77,0.00,Mar 2022,11th Apr 2022,YES,,,,,
