Sl.No,Vendor No.,Name of the party,Document No,GST NUMBER,Invoice No,Invoice Date,Description,HSN CODE,Total invoice value,Taxable amount,SGST %,SGST,CGST %,CGST%,IGST %,IGST
1,V1303,AJAJ AHMAD,JV/BCM/21-22/00001,,AH/2021-22/16-A,31/03/2022,Taxi Hire charges,9966,"57,750.00","55,000.00",0.00,0.00,0.00,0.00,5.00,"2,750.00"
2,V1426,Visiontek Consultancy Services Pvt Ltd,JV/BCM/21-22/00002,21AABCV8957D1ZC,VCSPL2021-22/943-A,31/03/2022,Consultancy Charges,998313,"702,100.00","595,000.00",0.00,0.00,0.00,0.00,18.00,"107,100.00"
3,V1200,United Exploration India Private Limited,JV/BCM/21-22/00003,19AABCU7785J1ZL,UEIPL/0095/21-22,29/03/2022,Brahmadiha Coal mine Branch Advance (Jharkandh),998342,"354,000.00","300,000.00",0.00,0.00,0.00,0.00,18.00,"54,000.00"
4,V0216,Harmony Consultancy,JV/CMK/21-22/0009,37AADFH9665D2Z5,27,31/05/2021,Remuneration(Outsourcing),998519,"1,126,118.00","954,338.00",9.00,"85,890.00",9.00,"85,890.00",0.00,0.00
5,V0216,Harmony Consultancy,JV/CMK/21-22/0021,37AADFH9665D2Z5,43,30/06/2021,Remuneration(Outsourcing),998519,"1,148,001.00","972,883.00",9.00,"87,559.00",9.00,"87,559.00",0.00,0.00
6,V0216,Harmony Consultancy,JV/CMK/21-22/0025,37AADFH9665D2Z5,33,30/06/2021,New Year Gift,998519,"115,531.00","97,907.00",9.00,"8,812.00",9.00,"8,812.00",0.00,0.00
7,V0216,Harmony Consultancy,JV/CMK/21-22/0033,37AADFH9665D2Z5,64,31/07/2021,Remuneration(Outsourcing),998519,"1,197,503.00","1,014,833.00",9.00,"91,335.00",9.00,"91,335.00",0.00,0.00
8,V0216,Harmony Consultancy,JV/CMK/21-22/0039,37AADFH9665D2Z5,80,31/08/2021,Remuneration(Outsourcing),998519,"1,079,073.00","914,469.00",9.00,"82,302.00",9.00,"82,302.00",0.00,0.00
9,V0544,PEST BUSTER,JV/H/21-22/00001,37AAFFP1751Q1ZQ,1913,06/04/2021,Rep & Main to buildings,998531,"14,160.00","12,000.00",9.00,"1,080.00",9.00,"1,080.00",0.00,0.00
10,V1133,M/S.Mridula Enterprises,JV/H/21-22/00010,37AARFM3727H2ZV,28/2020,12/04/2021,Chairman&Peshi exp,99853,"36,108.00","30,600.00",9.00,"2,754.00",9.00,"2,754.00",0.00,0.00
